division_id,date,cases
western,2012-01-01,1
western,2012-01-02,1
western,2012-01-09,1
western,2012-01-16,5
western,2012-01-23,1
western,2012-01-30,8
western,2012-02-06,21
western,2012-02-13,23
western,2012-02-20,17
western,2012-02-27,19
western,2012-03-05,21
western,2012-03-12,19
western,2012-03-19,14
western,2012-03-26,17
western,2012-04-02,7
western,2012-04-09,29
western,2012-04-16,19
western,2012-04-23,11
western,2012-04-30,8
western,2012-05-07,4
western,2012-05-14,8
western,2012-05-21,5
western,2012-05-28,5
western,2012-06-04,2
western,2012-06-11,1
western,2012-06-18,4
western,2012-06-25,5
western,2012-07-02,3
western,2012-07-09,3
western,2012-07-16,2
western,2012-07-23,3
western,2012-07-30,0
western,2012-08-06,0
western,2012-08-13,0
western,2012-08-20,0
western,2012-08-27,0
western,2012-09-03,5
western,2012-09-10,1
western,2012-09-17,0
western,2012-09-24,1
western,2012-10-01,3
western,2012-10-08,3
western,2012-10-15,1
western,2012-10-22,0
western,2012-10-29,3
western,2012-11-05,1
western,2012-11-12,0
western,2012-11-19,0
western,2012-11-26,1
western,2012-12-03,0
western,2012-12-10,3
western,2012-12-17,2
western,2013-01-01,4
western,2013-01-07,3
western,2013-01-14,4
western,2013-01-21,3
western,2013-01-28,3
western,2013-02-04,4
western,2013-02-11,8
western,2013-02-18,7
western,2013-02-25,7
western,2013-03-04,4
western,2013-03-11,4
western,2013-03-18,32
western,2013-03-25,18
western,2013-04-01,11
western,2013-04-08,14
western,2013-04-15,11
western,2013-04-22,12
western,2013-04-29,5
western,2013-05-06,12
western,2013-05-13,5
western,2013-05-20,8
western,2013-05-27,0
western,2013-06-03,5
western,2013-06-10,4
western,2013-06-17,0
western,2013-06-24,2
western,2013-07-01,5
western,2013-07-08,2
western,2013-07-15,2
western,2013-07-22,0
western,2013-07-29,3
western,2013-08-05,0
western,2013-08-12,1
western,2013-08-19,5
western,2013-08-26,3
western,2013-09-02,3
western,2013-09-09,7
western,2013-09-16,5
western,2013-09-23,2
western,2013-09-30,2
western,2013-10-07,1
western,2013-10-14,5
western,2013-10-21,11
western,2013-10-28,13
western,2013-11-04,7
western,2013-11-11,4
western,2013-11-18,6
western,2013-11-25,1
western,2013-12-02,0
western,2013-12-09,5
western,2013-12-16,6
western,2013-12-23,17
western,2014-01-01,5
western,2014-01-06,1
western,2014-01-13,4
western,2014-01-20,5
western,2014-01-27,0
western,2014-02-03,0
western,2014-02-10,11
western,2014-02-17,0
western,2014-02-24,2
western,2014-03-03,0
western,2014-03-10,0
western,2014-03-17,0
western,2014-03-24,0
western,2014-03-31,0
western,2014-04-07,0
western,2014-04-14,0
western,2014-04-21,0
western,2014-04-28,0
western,2014-05-05,0
western,2014-05-12,0
western,2014-05-19,12
western,2014-05-26,0
western,2014-06-02,0
western,2014-06-09,0
western,2014-06-16,0
western,2014-06-23,0
western,2014-06-30,0
western,2014-07-07,1
western,2014-07-14,0
western,2014-07-21,4
western,2014-07-28,0
western,2014-08-04,0
western,2014-08-11,0
western,2014-08-18,0
western,2014-08-25,0
western,2014-09-01,0
western,2014-09-08,5
western,2014-09-15,0
western,2014-09-22,0
western,2014-09-29,0
western,2014-10-06,10
western,2014-10-13,0
western,2014-10-20,0
western,2014-10-27,0
western,2014-11-03,2
western,2014-11-10,0
western,2014-11-17,0
western,2014-11-24,0
western,2014-12-01,0
western,2014-12-08,0
western,2014-12-15,0
western,2014-12-22,3
western,2015-01-01,0
western,2015-01-05,0
western,2015-01-12,1
western,2015-01-19,3
western,2015-01-26,3
western,2015-02-02,1
western,2015-02-09,0
western,2015-02-16,3
western,2015-02-23,1
western,2015-03-02,0
western,2015-03-09,3
western,2015-03-16,1
western,2015-03-23,1
western,2015-03-30,4
western,2015-04-06,1
western,2015-04-13,1
western,2015-04-20,2
western,2015-04-27,1
western,2015-05-04,0
western,2015-05-11,3
western,2015-05-18,1
western,2015-05-25,1
western,2015-06-01,1
western,2015-06-08,1
western,2015-06-15,4
western,2015-06-22,1
western,2015-06-29,4
western,2015-07-06,3
western,2015-07-13,2
western,2015-07-20,1
western,2015-07-27,1
western,2015-08-03,1
western,2015-08-10,1
western,2015-08-17,0
western,2015-08-24,0
western,2015-08-31,0
western,2015-09-07,0
western,2015-09-14,0
western,2015-09-21,1
western,2015-09-28,0
western,2015-10-05,0
western,2015-10-12,0
western,2015-10-19,0
western,2015-10-26,0
western,2015-11-02,0
western,2015-11-09,0
western,2015-11-16,0
western,2015-11-23,1
western,2015-11-30,1
western,2015-12-07,0
western,2015-12-14,0
western,2015-12-21,0
western,2016-01-04,0
western,2016-01-11,4
western,2016-01-18,7
western,2016-01-25,4
western,2016-02-01,0
western,2016-02-08,0
western,2016-02-15,0
western,2016-02-22,1
western,2016-02-29,3
western,2016-03-07,5
western,2016-03-14,13
western,2016-03-21,9
western,2016-03-28,5
western,2016-04-04,7
western,2016-04-11,8
western,2016-04-18,6
western,2016-04-25,4
western,2016-05-02,1
western,2016-05-09,5
western,2016-05-16,6
western,2016-05-23,1
western,2016-05-30,2
western,2016-06-06,3
western,2016-06-13,4
western,2016-06-20,5
western,2016-06-27,2
western,2016-07-04,5
western,2016-07-11,8
western,2016-07-18,5
western,2016-07-25,3
western,2016-08-01,4
western,2016-08-08,0
western,2016-08-15,6
western,2016-08-22,3
western,2016-08-29,3
western,2016-09-05,10
western,2016-09-12,2
western,2016-09-19,4
western,2016-09-26,0
western,2016-10-03,2
western,2016-10-10,4
western,2016-10-17,1
western,2016-10-24,7
western,2016-10-31,3
western,2016-11-07,2
western,2016-11-14,2
western,2016-11-21,3
western,2016-11-28,0
western,2016-12-05,6
western,2016-12-12,2
western,2016-12-19,12
western,2016-12-26,6
western,2017-01-01,1
western,2017-01-02,10
western,2017-01-09,5
western,2017-01-16,7
western,2017-01-23,17
western,2017-01-30,7
western,2017-02-06,9
western,2017-02-13,9
western,2017-02-20,29
western,2017-02-27,24
western,2017-03-06,29
western,2017-03-13,22
western,2017-03-20,19
western,2017-03-27,19
western,2017-04-03,18
western,2017-04-10,14
western,2017-04-17,13
western,2017-04-24,15
western,2017-05-01,7
western,2017-05-08,10
western,2017-05-15,19
western,2017-05-22,6
western,2017-05-29,7
western,2017-06-05,4
western,2017-06-12,2
western,2017-06-19,2
western,2017-06-26,0
western,2017-07-03,0
western,2017-07-10,3
western,2017-07-17,1
western,2017-07-24,0
western,2017-07-31,1
western,2017-08-07,4
western,2017-08-14,5
western,2017-08-21,3
western,2017-08-28,4
western,2017-09-04,2
western,2017-09-11,1
western,2017-09-18,0
western,2017-09-25,1
western,2017-10-02,7
western,2017-10-09,4
western,2017-10-16,4
western,2017-10-23,6
western,2017-10-30,0
western,2017-11-06,1
western,2017-11-13,1
western,2017-11-20,3
western,2017-11-27,0
western,2017-12-04,0
western,2017-12-11,2
western,2017-12-18,0
northern,2006-01-02,0
northern,2006-01-09,0
northern,2006-01-16,0
northern,2006-01-23,0
northern,2006-01-30,0
northern,2006-02-06,0
northern,2006-02-13,0
northern,2006-02-20,0
northern,2006-02-27,0
northern,2006-03-06,0
northern,2006-03-13,0
northern,2006-03-20,0
northern,2006-03-27,0
northern,2006-04-03,0
northern,2006-04-10,1
