train_end,test_start,test_end,auc,pr_auc,hit_rate,false_alarm_rate,n_test
2009-06-30,2009-07-07,2009-07-21,,,,0.0,9
2009-07-07,2009-07-14,2009-07-28,,,,0.0,9
2009-07-14,2009-07-21,2009-08-04,,,,0.0,9
2009-07-21,2009-07-28,2009-08-11,,,,0.0,9
2009-07-28,2009-08-04,2009-08-18,,,,0.0,9
2009-08-04,2009-08-11,2009-08-25,,,,0.1111111111111111,9
2009-08-11,2009-08-18,2009-09-01,,,,0.3333333333333333,9
2009-08-18,2009-08-25,2009-09-08,,,,0.3333333333333333,9
2009-08-25,2009-09-01,2009-09-15,,,,0.2222222222222222,9
2009-09-01,2009-09-08,2009-09-22,,,,0.0,9
2009-09-08,2009-09-15,2009-09-29,,,,0.0,9
2009-09-15,2009-09-22,2009-10-06,,,,0.0,9
2009-09-22,2009-09-29,2009-10-13,,,,0.0,9
2009-09-29,2009-10-06,2009-10-20,,,,0.0,9
2009-10-06,2009-10-13,2009-10-27,,,,0.0,9
2009-10-13,2009-10-20,2009-11-03,,,,0.0,9
2009-10-20,2009-10-27,2009-11-10,,,,0.0,9
2009-10-27,2009-11-03,2009-11-17,,,,0.0,9
2009-11-03,2009-11-10,2009-11-24,,,,0.0,9
2009-11-10,2009-11-17,2009-12-01,,,,0.1111111111111111,9
2009-11-17,2009-11-24,2009-12-08,,,,0.1111111111111111,9
2009-11-24,2009-12-01,2009-12-15,,,,0.1111111111111111,9
2009-12-01,2009-12-08,2009-12-29,,,,0.0,9
2009-12-08,2009-12-15,2010-01-05,,,,0.0,9
2009-12-15,2009-12-29,2010-01-12,,,,0.3333333333333333,9
2009-12-29,2010-01-05,2010-01-19,,,,0.4444444444444444,9
2010-01-05,2010-01-12,2010-01-26,,,,0.4444444444444444,9
2010-01-12,2010-01-19,2010-02-02,,,,0.1111111111111111,9
2010-01-19,2010-01-26,2010-02-09,,,,0.0,9
2010-01-26,2010-02-02,2010-02-16,,,,0.0,9
2010-02-02,2010-02-09,2010-02-23,,,,0.0,9
2010-02-09,2010-02-16,2010-03-02,,,,0.0,9
2010-02-16,2010-02-23,2010-03-09,,,,0.0,9
2010-02-23,2010-03-02,2010-03-16,,,,0.0,9
2010-03-02,2010-03-09,2010-03-23,,,,0.0,9
2010-03-09,2010-03-16,2010-03-30,,,,0.0,9
2010-03-16,2010-03-23,2010-04-06,,,,0.0,9
2010-03-23,2010-03-30,2010-04-13,0.875,0.25,0.0,0.0,9
2010-03-30,2010-04-06,2010-04-20,0.875,0.25,0.0,0.0,9
2010-04-06,2010-04-13,2010-04-27,1.0,1.0,0.0,0.0,9
2010-04-13,2010-04-20,2010-05-04,,,,0.0,9
2010-04-20,2010-04-27,2010-05-11,,,,0.0,9
2010-04-27,2010-05-04,2010-05-18,,,,0.0,9
2010-05-04,2010-05-11,2010-05-25,,,,0.0,9
2010-05-11,2010-05-18,2010-06-01,,,,0.0,9
2010-05-18,2010-05-25,2010-06-08,,,,0.0,9
2010-05-25,2010-06-01,2010-06-15,,,,0.0,9
2010-06-01,2010-06-08,2010-06-22,,,,0.0,9
2010-06-08,2010-06-15,2010-06-29,,,,0.0,9
2010-06-15,2010-06-22,2010-07-06,,,,0.0,9
2010-06-22,2010-06-29,2010-07-13,,,,0.0,9
2010-06-29,2010-07-06,2010-07-20,,,,0.0,9
2010-07-06,2010-07-13,2010-07-27,,,,0.0,9
2010-07-13,2010-07-20,2010-08-03,,,,0.1111111111111111,9
2010-07-20,2010-07-27,2010-08-10,,,,0.1111111111111111,9
2010-07-27,2010-08-03,2010-08-17,,,,0.1111111111111111,9
2010-08-03,2010-08-10,2010-08-24,0.2142857142857143,0.13680555555555557,0.0,0.0,9
2010-08-10,2010-08-17,2010-08-31,0.2142857142857143,0.13680555555555557,0.0,0.0,9
2010-08-17,2010-08-24,2010-09-07,0.07142857142857145,0.12251984126984126,0.0,0.0,9
